,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
15,1.48565E+18,1.48565E+18,2022-01-24 21:52:25 Sri Lanka Standard Time,1/24/2022,21:52:25,530,1.37091E+18,ukussanews,@ukussanews,,කොටි වැළලූ රන් සොයන්න ගිය පී.සී ඇතුළු හතක් මාට්ටු  https://t.co/MlEZP9hGaj #lka #srilanka #news  https://t.co/yKwsYbRykb,si,[],['http://www.ukussanews.com/News.php?san=6289'],['https://pbs.twimg.com/media/FJ4WD_OaAAU1_SH.jpg'],0,0,0,"['lka', 'srilanka', 'news']",[],https://twitter.com/ukussanews/status/1485649197273870336,FALSE,,1,https://pbs.twimg.com/media/FJ4WD_OaAAU1_SH.jpg,,,,,,,[],,,,
16,1.48551E+18,1.48551E+18,2022-01-24 12:44:39 Sri Lanka Standard Time,1/24/2022,12:44:39,530,163797399,gossiplanka,Gossip Lanka News,,සුඛෝපභෝගී විලාසිතා සන්නාමයක් වන Gucci හි ප්‍රචාරණ ව්‍යාපාරයක් සඳහා සැබෑ කොටියන් භාවිතා කිරීම නිසා ගැටලුකාරී තත්වක් ඇතිව තිබේ.   මෙම මස මුලදී ඉතාලි නිර්මාණකරු වකු විසින් Gucci Tiger එකතුව පෙබරවාරි 1 වනදා ආරම්භ වන ‘චීන කොටි වර්ෂය‘ සැමරීම සඳහා දියත් කරන ලදී…  https://t.co/ABNG1RVOy8,si,[],['https://ift.tt/3tTA3YH'],[],0,0,0,[],[],https://twitter.com/gossiplanka/status/1485511347198648321,FALSE,,0,,,,,,,,[],,,,
17,1.4855E+18,1.48523E+18,2022-01-24 11:50:08 Sri Lanka Standard Time,1/24/2022,11:50:08,530,15430622,jingibiris,avatar state,,@7777sevenfours @Athapaththu184 අඩෝ උඹේ ගේ පිටිපස්සෙ කොටි ගැහුවද 🤔😂,si,[],[],[],3,0,1,[],[],https://twitter.com/jingibiris/status/1485497629031108608,FALSE,,0,,,,,,,,"[{'screen_name': '7777sevenfours', 'name': 'sk ss', 'id': '1458686389378109440'}, {'screen_name': 'Athapaththu184', 'name': ""6'7 ඩෑල් එකක්මි"", 'id': '1433295712041701376'}]",,,,
18,1.48548E+18,1.48548E+18,2022-01-24 10:40:00 Sri Lanka Standard Time,1/24/2022,10:40:00,530,1.15171E+18,harigossip,Hari Gossip News,,ලොක්කාගේ බැංකු ගිණුමේ කොටි පහකට මෝඩ යකා කෙලලා  https://t.co/FZog5avUgy,si,[],['https://ift.tt/3fSL2Ju'],[],0,0,0,[],[],https://twitter.com/HariGossip/status/1485479977973960708,FALSE,,0,,,,,,,,[],,,,
19,1.48545E+18,1.48532E+18,2022-01-24 08:51:15 Sri Lanka Standard Time,1/24/2022,8:51:15,530,1.31265E+18,ssirbaddana,ssirbaddana,,@UmeshMoramudali කුමාරස්වාමි කොටි ඒජන්ත,si,[],[],[],0,0,0,[],[],https://twitter.com/ssirbaddana/status/1485452610669015042,FALSE,,0,,,,,,,,"[{'screen_name': 'UmeshMoramudali', 'name': 'Umesh Moramudali', 'id': '421739726'}]",,,,
20,1.48516E+18,1.48492E+18,2022-01-23 13:12:23 Sri Lanka Standard Time,1/23/2022,13:12:23,530,1.34251E+18,iamkeshara,කේෂර® 👨‍🎓🕵️‍♀️,,@SuuTikka එහෙමලු. කූඹි කාලා කොටි මැරුණා කියනවලුනෙ.😂,si,[],[],[],1,0,2,[],[],https://twitter.com/IamKeshara/status/1485155938063777795,FALSE,,0,,,,,,,,"[{'screen_name': 'SuuTikka', 'name': 'Suraj 🎮\uea00', 'id': '2503150696'}]",,,,
21,1.48512E+18,1.48512E+18,2022-01-23 11:04:29 Sri Lanka Standard Time,1/23/2022,11:04:29,530,799677397,duliponline,ආර්. බැද්දගේ,,"මෙච්චරකල් හිතාගෙන හිටියෙ මේ කතාව හදපු එකක් කියල. හමුදාවට ආයුද හිඟවුන කාලෙක ඊලඟ ආයුධ නැව එනකං කඳානෙං අල්ලගත්ත පොන්නයො සෙට්ටෙකක් යැවුවළු ෆ්‍රන්ට් එකට. දවස් ගානකට පස්සෙ සීරුමක්වත් නැතුව පොන්නයො සෙට්ටෙක ආපහු එනවළු ""කවුද කිවුවෙ කොටි නරකයි කියල? හෙටත් එන්න කොටී"" කියාගෙන.",si,[],[],[],10,6,60,[],[],https://twitter.com/duliponline/status/1485123752409309184,FALSE,https://twitter.com/EvilSavior7/status/1484506082651574277,0,,,,,,,,[],,,,
22,1.48448E+18,1.48448E+18,2022-01-21 16:38:27 Sri Lanka Standard Time,1/21/2022,16:38:27,530,1.07399E+18,dulan_is_here,ඩුලාන් 🇱🇰,,"ඔව් , ඒ දිමුත්... කොලඹ කොටි බෝම්බ ගහන කාලෙ කොටුවේ රේල්වෙ ස්ටෙශන් එකෙ බෝම්බෙට අහූනා...😞😥  හරිම හොඳ එකෙක් 😣",si,[],[],[],1,0,10,[],[],https://twitter.com/Dulan_Is_Here/status/1484483022996983808,FALSE,https://twitter.com/_Im_Anjana/status/1484358029999247360,0,,,,,,,,[],,,,
23,1.48376E+18,1.48376E+18,2022-01-19 16:31:25 Sri Lanka Standard Time,1/19/2022,16:31:25,530,1.3135E+18,kanishkatissa,Kanishka Tissa,,කැනඩාව කියනෙ කොටි ගුහාවක්නේ. උන්ට රාජපක්ෂලා අරහං. කොටි හුරතල් කරානම් මේ මොනවත් ප්‍රශ්න නෑ.,si,[],[],[],0,2,3,[],[],https://twitter.com/KanishkaTissa/status/1483756476753940482,FALSE,https://twitter.com/adaderanasin/status/1483737369178214405,0,,,,,,,,[],,,,
24,1.48369E+18,1.48368E+18,2022-01-19 12:04:08 Sri Lanka Standard Time,1/19/2022,12:04:08,530,4695571118,skathriarachc,💙🧚 නිෂාදි 🧚💙🇱🇰,,@sakudbest රිදිගම සෆාරි එකේ අලුත් කොටි පැටියා..අද ඉදන් තමයි මිනිස්සුන්ට බලන්න දෙන්නේ..එකේම හැදිච්ච එක්කෙනෙක්..,si,[],[],[],4,0,2,[],[],https://twitter.com/SKathriarachc/status/1483689214009298945,FALSE,,0,,,,,,,,"[{'screen_name': 'sakudbest', 'name': 'SaKu', 'id': '2265283944'}]",,,,
25,1.48356E+18,1.48356E+18,2022-01-19 03:42:55 Sri Lanka Standard Time,1/19/2022,3:42:55,530,1.16851E+18,wasanth53468261,Wasantha Perera,,💪 මේ ලක්ශ 69න් අංශුමාත්‍රයකී.  අලි කොටි ඔටු ජෙපි නපුංසක සෙට් එක හීනයක හිටියා කියා උන්ටම හිතෙන දිනය ඊලඟට එන චන්දේ දවසේ අපේ හාමුදුරුවනේ!  https://t.co/plLmQckCP0,si,[],[],['https://pbs.twimg.com/media/FJasweZXEAcYvQO.jpg'],0,6,19,[],[],https://twitter.com/Wasanth53468261/status/1483563078629347331,FALSE,,1,https://pbs.twimg.com/media/FJasweZXEAcYvQO.jpg,,,,,,,[],,,,
26,1.48304E+18,1.48304E+18,2022-01-17 17:17:33 Sri Lanka Standard Time,1/17/2022,17:17:33,530,1371911287,asianmirrorsin,Asian Mirror Sinhala,,කඳුකර කොටි සහ හඳුන් දිවියන් නිසා බියෙන් දිවි ගෙවන පිරිසක් (PHOTOS)  https://t.co/eKBlPqvzOz  https://t.co/Y9w1Os1ZV3,si,[],['https://am.lk/local-news/item/67535-mountain-tigers-and-sand-leopards-live-in-fear?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FJTUCC3VcAAHLtY.jpg'],0,0,0,[],[],https://twitter.com/asianmirrorsin/status/1483043310335770625,FALSE,,1,https://pbs.twimg.com/media/FJTUCC3VcAAHLtY.jpg,,,,,,,[],,,,
